id,message,true_intent,generated_reply,is_mock,human_correctness,human_groundedness,human_helpfulness,human_completeness,human_actionability,human_brand_consistency,human_safety
golden_174,"@115821 why you force prime membership on users? Today my card was charge for 10.90 USD, if no cc alerts set it would hv silently went under carpet. This is second time it's happened.",prime_membership_issue,"Hi there, I'm sorry to hear about the unexpected $10.90 charge and the frustration it’s caused. We’d like to investigate this for you. Could you please share the order or subscription number associated with the charge, or any reference details you have? You can also reach out to us directly via phone or chat so we can look into the charge together. Please use this link to start the conversation: https://t.co/hApLpMlfHN. Thank you for your patience, and we’ll work to resolve this as quickly as possible.",False,4,3,4,2,4,2,4
golden_140,"@115830 4 days of supposed ""attempted deliveries"" really????
Ur driver is having every1 on. What's the point of being a prime cust? #wrong",delivery_delay,"Hi there, I'm sorry to hear about the repeated delivery attempts and the frustration it's causing. Our 2‑Day shipping promise for Prime reflects the in‑transit time once the order has been processed, not the processing time itself. Delivery windows can extend into the evening, with couriers able to deliver as late as 10 pm. It sounds like the driver may be having trouble locating your address, which can lead to multiple attempts. Could you please double‑check that the address details in your order are correct? If everything looks right and you still haven't received your package, please let us know using this link so we can investigate further: https://t.co/JzP7hlRCV9. For more information on how Prime shipping works, you can also review the details here: https://t.co/XFSZ6r24V0. Thank you for your patience, and we’ll do our best to get your order to you as soon as possible.",False,4,4,4,3,4,3,2
golden_023,@115850 very poor service and cheating done by amazon.,delivery_not_received,"We’re sorry to hear about the poor service you’ve experienced. To help us investigate the delivery issue, could you please share your order number and any relevant details through our support form here: https://t.co/vlvfJr4nN9? Once we have that information, we’ll look into it and work to resolve the problem for you.",False,4,3,3,4,4,2,4
golden_152,"@AmazonHelp I made an order on Wednesday and selected one day shipping at checkout, and I did not receive the item on Thursday or Friday. I talked to a representative on Friday, and they said that my order would receive priority shipping, yet I still have not received my item.",general_other,"We’re sorry you haven’t received your order yet. To investigate the shipping status, could you please provide your order number and the email address used for the purchase? You can also reach our support team directly by phone or chat here: https://t.co/JzP7hlA23B. Once we have those details, we’ll look into why the one‑day shipping didn’t arrive as expected and work to resolve the issue.",False,4,3,4,4,4,2,3
golden_109,"@115821, against our complaint and refund request against order no.402-573-4541-1452349,for MOTO G5S PLUS GOLD 64 GB , sorry to say that nothing positive has been done till date. It has been a sad, frustrating and pathetic experience for us. Soooo sad !",cancellation_or_refund_request,"Hi, we’re really sorry to hear about the ongoing trouble with your order 402‑573‑4541‑1452349 for the Moto G5S Plus Gold 64 GB. I understand how frustrating this must be. To move forward, could you please provide the required details through the secure link we previously sent you? Once we have that information, we’ll investigate the issue right away and keep you updated on the next steps.

Thank you for your patience.",False,3,2,3,3,3,2,4
golden_009,@115850 seems they have got a huge population of prime members in india and now they don't want more customers in india https://t.co/Cngg7ux6Kr,delivery_delay,"I’m sorry, but I don’t have enough information to address your concern.",False,2,1,1,1,0,1,2
golden_008,I never actually receive my “same day” orders from amazon on the same day. Maybe they’ll show up tomorrow? They say delivered. Who knows. It’s always a mystery. @AmazonHelp,customer_service_complaint,"I’m sorry your same‑day order hasn’t arrived yet. If it doesn’t arrive by 9:00 pm tomorrow, please let us know. In the meantime, could you share the order number and the carrier listed on the tracking page so we can look into it for you?",False,4,3,2,1,1,3,4
golden_024,@115830 how do i download the wwe app on an amazon fire tablet?!,delivery_not_received,"Hi there! The WWE app is available in the Amazon Appstore on your Fire tablet. To download it, open the Appstore, use the search function to look for ""WWE"", and then tap the download/install button. If you don’t see the app in the library or run into any issues, just let us know and we’ll walk you through the steps.",False,3,2,2,4,2,1,4
golden_056,"@115850 @115851 @4773 __email__,Reg Mob-9717597841.I have placed an order on Amazon.in on 21NOV. Order ID-4__credit_card__.Not received order Still.Estimated Delivery Date of Order was 27Nov &amp;Today is30Nov.I need token of Apology of Rs1000 in AmazonPayBal https://t.co/EarpjMSZBi",prime_membership_issue,"We’re sorry to hear that your order placed on 21 Nov has not arrived yet. For your privacy and security, we can’t view order details or process requests through this public channel. Please do not share personal information such as your email, phone number, or order ID here. To investigate further, kindly contact our support team using the dedicated link: https://t.co/vlvfJr4nN9. Our team will review the status of your order and get back to you as soon as possible. Thank you for your patience.",False,4,3,4,4,4,2,2
golden_060,@117795 Can you get your UK counterparts to stop being the funny guys.  Why would a refund for an item not be the full amount I paid for it?,cancellation_or_refund_request,"Hi there, I’m sorry you’ve only received a partial refund. Our refund policy is listed here: https://t.co/27Cl195bsC. It explains that refunds are issued for the purchase price of the item, but shipping fees are only refunded when the item was defective, damaged, or never arrived. If an item is returned in a condition that differs from how it was received, the refund amount may be adjusted. To look into why you didn’t receive the full amount, could you please share your order number and any relevant details with us? You can start a real‑time chat or call us here: https://t.co/JzP7hlA23B. Thanks for your patience.",False,4,4,4,4,4,2,4
golden_130,@AmazonHelp my item was broken when I received it yesterday! States no refunds? Why? Should I dispute the charge?,general_other,"Hi there, I'm sorry to hear that the item arrived broken. We definitely want to help you resolve this. Could you please share a link to the product or your order number so we can look into why the listing mentions ""no refunds""? In the meantime, you can view the available options for a damaged item here: https://t.co/T994nVbxA2. Once we have the details, we'll investigate further and let you know the next steps.",False,4,4,3,2,4,3,3
golden_155,"Just got an email asking me for feedback on the stuff I ordered from @116090 last week.  They really didn't have an option for ""I don't know because Amazon f***ed up my 'guaranteed 2-day delivery' and I'm still waiting for it five days later"".  cc: @AmazonHelp  #NotImpressed",return_or_replacement_request,"Hi there,

I’m sorry to hear about the delay with your order and the frustration it’s caused – especially when the delivery didn’t meet the guaranteed 2‑day window. I understand how disappointing that can be.

Could you please share your order number (or the email address used for the purchase) so I can check the exact status and see what options we have for you, such as a replacement or a refund?

Thank you for your patience, and I’ll do my best to get this sorted for you quickly.

Best regards,
Customer Support",False,2,1,3,3,3,2,3
golden_198,@AmazonHelp please see my message. My parcel is set as delivered and I haven't received it,cancellation_or_refund_request,"Hi there,

I'm sorry to hear that your parcel is marked as delivered but you haven't received it. This can be frustrating, and I’d like to help you resolve it.

First, could you please double‑check the delivery location (e.g., around your front door, porch, or with a neighbor) and any delivery notice left by the carrier? Sometimes parcels are placed in a safe spot or with a nearby resident.

If you still can’t locate the item, you can try the following steps that have helped other customers:

1. Review the delivery details using this link, which may provide more information on where the carrier left the package: https://t.co/yU32StPfBi
2. If the parcel remains missing, you may want to file an A‑to‑Z Guarantee claim. More information on how to start a claim can be found here: https://t.co/yuFkROHpQP

In the meantime, we’ve forwarded your case to the relevant team and will keep you updated as soon as we have more information.

Thank you for your patience, and please let us know if you have any other questions.

Best regards,
Customer Support",False,4,3,4,3,4,4,4
golden_144,Worst customer experience ever! Been told every day for last 4 days that my parcel will arrive tomorrow but nothing! Where is the customer obsession? @AmazonHelp,delivery_not_received,"I’m really sorry to hear about the repeated delays and the frustration it’s caused you. To investigate this further and get your parcel to you as quickly as possible, could you please share your order number and the shipping address (or any other details you’re comfortable providing) in a private message? Once we have that information, we’ll look into the status of your delivery and follow up with you right away.",False,2,1,2,1,1,2,2
golden_051,"Did not receive order no. 405-6021334-3005910. Received sms, item delivered to me &amp; signed by me! @118919",general_other,"Hi there,

I'm sorry to hear that you haven't received your order #405‑6021334‑3005910 despite the delivery confirmation you received. I understand how frustrating this must be.

Could you please confirm the shipping address we have on file for this order, and let us know if anyone else might have signed for the package on your behalf? If you have any photos of the delivery notice or the SMS you received, that would also be helpful.

Once we have those details, we’ll open an investigation with the carrier and work to resolve this for you as quickly as possible.

Thank you for your patience, and we look forward to sorting this out for you.

Best regards,
Customer Support",False,2,1,2,2,3,2,2
golden_167,"Yo, I wanted to check the price of an item since it was like bugged in sales screen, so I continued until the last page and accidentally clicked checkout with an unvalid card. I'm getting mails about giving info about a card thats no longer valid(also it was virtual)@AmazonHelp",account_access_issue,"Hi there,

I’m sorry you’re having trouble after the checkout step. To protect your account, please do not share any card details in email replies. The best way for us to investigate the order that was placed with the virtual card and to help you cancel it (or resolve any pricing concerns) is to connect with a support specialist directly. You can do this via phone or chat using the following link: https://t.co/lr7T0jiNiW. Once you’re connected, please have your order number handy so we can look into the transaction and make any needed adjustments.

If you have any other questions in the meantime, just let us know!

Thanks for reaching out,
Amazon Help Team",False,3,2,3,4,4,4,4
golden_192,So I order a tv from @115830 and is to be delivered by @24123 on Saturday the 25th now they say they will be delivering it on Monday the 29th I get one day off work which is Saturday what a joke 👎👎,app_or_device_technical_issue,"Hi, I’m sorry to hear about the delivery delay and that it’s affecting your day off. Could you please share your order number so we can investigate further? In the meantime, please check your email for any updates we may have sent. We’ll look into this and get back to you as soon as possible.",False,4,3,3,4,2,2,4
golden_108,"@115830 Very disappointed with the poor customer service at Amazon UK! Never buying TVs from them again. Long delivery times, faulty items and nightmare to get replaced! Please can someone  @115830 sort this out! All I now want to do is cancel the order and get a refund!",delivery_not_received,"We’re really sorry to hear about the trouble you’ve experienced with your TV order. To help you cancel the order and process a refund as quickly as possible, please get in touch with us through this link: https://t.co/vlvfJr4nN9. Once we hear from you there, we’ll be able to sort this out for you.",False,4,3,3,3,4,2,4
golden_057,"Enough of I am sorry @115821, a classic trademark of perverse organizational dynamics @115821. FULL REFUND IS THE ONLY ANSWER WHEN A SELLER DELIBERATELY SENDS A DAMAGED ITEM AND ACKNOWLEDGES IT ON THE SALES SLIP. CHECK 112-28550003-9905044. SHAME https://t.co/sciqR2C6om",prime_membership_issue,"I’m sorry to hear that the item you received was damaged. To resolve this, please contact the seller directly to request a return and refund. You can do this from the ""Your Orders"" page by selecting the order and choosing the option to return or replace the item. If you need help with the steps, you can refer to the guidance we’ve shared previously for returning damaged items from third‑party sellers. Should the seller not respond or you encounter any issues, you can also open an A‑to‑Z Guarantee claim for further assistance.

If you have any other questions or need additional help, please let us know.",False,2,1,3,3,1,3,4
golden_115,@AmazonHelp how can I get a refund for a product never received that the seller will not respond to,app_or_device_technical_issue,"Hi there, I'm sorry to hear you haven't received your order. Please start by checking the order details in your Amazon account and try contacting the seller directly through the order page. If the seller still doesn't respond, you can open a case with Amazon support for a refund. The quickest way to do this is through the Amazon app – just go to the order, select ""Problem with order"" and follow the prompts. Providing your contact information (such as the phone number linked to your account) can also help us locate the order faster. Let us know if you need any further assistance.",False,2,1,3,4,4,3,3
golden_151,@115850 promised to deliver by today morning 11am but yet not delivered. Missed my train because of such improper service by you. https://t.co/SF7n1OpO4A,customer_service_complaint,"We’re very sorry to hear that your delivery did not arrive as promised and that you missed your train. To investigate this issue and help you as quickly as possible, please do not share your order number or personal details publicly. You can send us a direct message with your order ID and contact information, or use the support link we’ll provide here to securely share those details. Once we have the necessary information, our team will look into the delivery status and get back to you promptly.",False,4,3,3,3,4,3,4
golden_072,"So not only had @115821 taken $100 unauthorized from me without consent or reason, they admit their fault in email and NO ONE is helping to refund it even though they said they would.  Liars.",app_or_device_technical_issue,"I’m sorry to hear about this situation. To investigate the $100 charge you mentioned, could you please provide the order number or any reference details from the email you received? Once we have that information, we’ll look into it and work toward a resolution.",False,3,2,3,4,2,2,4
golden_002,"the one day I have a day off work and I ""missed"" my package from Amazon 😭",return_or_replacement_request,"Hi there, I’m really sorry you missed your delivery on your day off. Have you received an email from us with more information or a delivery attempt notice? You can also check the latest tracking details in your order page to see the next available delivery window. If you’d like us to arrange a new delivery attempt or discuss a replacement, just let us know and we’ll work with the carrier to get it sorted for you.",False,4,3,3,4,3,3,4
golden_041,"Please update the result ? 
#AmazonRechargeQuiz 
@AmazonHelp 
@115850",order_status_inquiry,"Hi there,

We’d like to help, but we need a bit more information to understand your request. Could you please let us know which specific result you’re referring to (e.g., an order, a quiz, or a contest) and provide any relevant details such as an order number, contest name, or a link? Once we have that, we’ll be able to look into it for you.

Thank you!",False,3,2,2,1,2,2,4
golden_186,Order Honor 8. Order no. 406-7219817-1950749. Ordered on 21 Nov. Received this pack of salt. @AmazonHelp @115850 Look into it. https://t.co/GUQfBsKGcF,customer_service_complaint,"We’re very sorry to hear that you received the wrong item. For your privacy and security, please do not share your order number or personal details publicly. Could you please send us your order information through the private link we’ve provided (e.g., https://t.co/GIJyeYqKE0) so we can investigate and resolve this for you as quickly as possible?",False,4,3,4,1,4,0,4
golden_088,"@AmazonHelp, I paid extra to have a package delivered yesterday. Mail has already come today and it's still not here (which should have been here today even without paying extra since I have prime). How do I get back my money I paid for early delivery that never happened?",content_availability_inquiry,"Hi there,

I’m really sorry to hear that your package didn’t arrive as expected, especially after you paid extra for early delivery. I understand how frustrating this must be.

Could you please share your order number and the current tracking details? You can also check the latest status here: https://t.co/Jra7nZawgp. Once we have that information, we’ll investigate what happened and work on getting this resolved for you as quickly as possible.

In many cases, packages that are delayed arrive the following day, but we’ll confirm the exact situation for your order. Please let us know if it still hasn’t arrived by tomorrow, and we’ll take the next steps.

Thank you for your patience, and we look forward to sorting this out for you.

Best regards,
[Your Support Team]",False,4,3,4,4,4,3,4
golden_169,"I am not getting what you have done and how I will get my refund today in my bank account. I have 2 messages from your end both says different story. @115821 @115850 @AmazonHelp

That means I will only need to wait for today? https://t.co/Xto0qhF2t1",app_or_device_technical_issue,"Hi there,

I’m sorry for the mixed messages you’ve received. To clarify, when you paid with a debit card, any refund will be credited back to the same bank account linked to that card. Once the refund is processed on our side, it should appear in your bank account according to your bank’s usual processing times.

We’re looking into why you received differing information, and we’ll make sure you have the correct details. If you don’t see the refund after a reasonable period, please let us know so we can investigate further.

Thank you for your patience.

Best regards,
Customer Support",False,2,1,2,3,2,3,2
golden_040,@119625 since your last update on iPhone 📱 it doesn’t cast on @115858 TV 📺. Please help,order_status_inquiry,"Hi there! Sorry to hear that casting from your iPhone to your TV isn’t working after the recent update. A few things that have helped other customers in similar situations are:
1. Sign out of the app, then sign back in.
2. Uninstall the app, restart your phone, and reinstall the app.
3. Make sure your phone and TV are on the same Wi‑Fi network.
If you’ve already tried these steps and it’s still not working, we’d be happy to take a closer look with you. You can reach us by phone or chat here: https://t.co/hApLpMlfHN. Let us know how it goes!",False,4,3,4,3,4,2,4
golden_182,Ugh @115821 this is my third prime order in 2 weeks that will be delivered late. What’s the deal? #nothappy @AmazonHelp,delivery_delay,"I’m really sorry you’ve had three Prime orders arrive late – that’s definitely not the experience we want you to have. Could you let me know which carrier was used for each of the delayed shipments and share the order numbers? I’ll make sure this is reported and we’ll look into what’s causing the delays. If you need immediate assistance, you can reach us 24/7 here: https://t.co/hApLpMlfHN",False,3,2,4,3,4,3,4
golden_087,Furious with @115830 carrier: package containing 3 orders claims to have been delivered but I don't have it &amp; I have checked everywhere and checked with my neighbours. I want to find it as weather is not good.,payment_or_billing_issue,"I’m really sorry you haven’t received your package despite the delivery status showing it as delivered. Please double‑check the delivery details on our help page here: https://t.co/atcI04KgVD. If you still can’t locate the parcel, you can reach our support team directly at 1‑866‑216‑1072 or use this link to start a review of your order: https://t.co/JzP7hlA23B. Have your order number handy so we can investigate further and find a solution for you.",False,4,3,4,4,4,2,4
golden_191,@115821 @AmazonHelp shocking service received. Been sent the wrong item &amp; what’s the point of paying for Prime &amp; taking 4 days for delivery.,app_or_device_technical_issue,"I’m sorry you received the wrong item and that your Prime delivery took longer than expected. To help us investigate, could you let us know the carrier listed for this order and share the order number? You can view the carrier details here: https://t.co/Y5jpI9gRhE. Once we have that information, we’ll look into why the incorrect product was sent and work on a resolution for you.",False,4,3,3,3,4,1,4
golden_183,Two delayed packages from @115821 this week and their customer support is a joke. One of the packages is needed to be delivered today for an early Christmas gift for this Sunday.,customer_service_complaint,"I’m really sorry to hear about the delays with your two packages and understand how important it is to get the gift in time for Christmas. Could you please share the order numbers or tracking numbers for the shipments? Also, let us know if you’ve already spoken with a support representative and what options were offered. With that information we can investigate the status of the missing package and see what can be done to get it to you as quickly as possible.",False,3,2,2,4,1,3,4
golden_098,@AmazonHelp I used one of your lockers to return an item on the 22nd of November and it says I will get a refund once my product is back but I haven't heard anything since? The order number is # 202-4125944-1540341 and my name is Lilian Harvey,delivery_not_received,"Hi Lilian,

I’m sorry you haven’t received an update on your refund yet. I’ll look into the status of the return for order #202-4125944-1540341. To help us investigate, please log in to your Amazon account, go to the ""Your Orders"" page and check the return status there. If the status still shows as pending, you can also reach out to us directly through the Help Center (Account → Help → Contact Us) so we can review the details and move the refund forward.

Thank you for your patience, and we’ll do our best to resolve this quickly.

Best regards,
Amazon Support",False,2,1,3,4,4,2,4
golden_025,".@115830 Just spoken to your team in a chat to discuss a Prime order of mine due yesterday that was not arriving until today. Without discussing it with me, they've scheduled a re-delivery which means it will be further delayed. Not happy with this service at all!",cancellation_or_refund_request,"Hi there,

I’m really sorry to hear about the delay with your Prime order and the inconvenience caused by the re‑delivery being scheduled without your input. I completely understand how frustrating this must be.

Could you please share your order number (or the email address linked to the order) so I can look into the details and see what options we have to get your item to you as quickly as possible? I’ll check on the delivery status right away and let you know what we can do to resolve this for you.

Thank you for your patience, and I look forward to helping you get this sorted.",False,2,1,3,2,3,3,2
golden_092,@115850 Reported a fraudulent seller ( Shipping cheaper models than mentioned in listing ). Requested RTO / Refund once found out. Vineet told me that my order will be RTO and no delivery would be attempted. Suddenly the app shows delivery would be done by Tue. @115851,delivery_delay,"Hi there,

I’m really sorry to hear about the trouble you’re experiencing with your order and the confusion around the delivery status. I understand how frustrating it must be to receive a different product than expected and then see a delivery date appear in the app after being told the order would be returned.

I’ll look into the status of your order right away to confirm that it is set for RTO (Return to Origin) and that no delivery attempt will be made. Once the return is processed, we’ll move forward with your refund.

Could you please share your order number (or any reference you have) so I can pull up the details and expedite this for you?

Thank you for your patience, and I’ll keep you updated as soon as I have more information.

Best regards,
[Your Name]
Customer Support",False,2,1,2,4,2,2,4
golden_089,@AmazonHelp  i ordered bluetooth speaker worth 1799/-INR and got a prime membership of worth 459/-INR  i cancelled both bluetooth speaker and prime  membership.So they initiated my refund but unfortunately i haven't  received it yet.I also call to help center but prblm remainsame https://t.co/GEAsFcCmnG,prime_membership_issue,"Hi there, we’re sorry to hear that you haven’t received your refund yet. To protect your personal information, please do not share order numbers or other details publicly. Instead, kindly report this issue to our support team through the secure link here: https://t.co/rS49hgaADF. Our team will be able to look up your order and provide an update on the refund status. Thank you for your patience.",False,3,2,4,4,4,1,4
golden_068,@AmazonHelp I have not received my refund ..,general_other,"Hi there,

I’m sorry to hear you haven’t received your refund yet. Refund authorizations typically take 3‑5 business days to fall off, after which the funds should appear in your account. If you still don’t see the refund after that period, you may want to reach out to your bank to see if there’s any delay on their end.

Could you please provide your order number or any reference details so we can look into this further for you?

Thank you for your patience, and we’ll do our best to resolve this quickly.",False,2,1,3,4,4,2,4
golden_012,@AmazonHelp ordered a JBL CHARGE3 on Black Friday. Unplugged it the first time it does this help!  @164902 maybe you can help too?  I don’t want a return just a new cord. https://t.co/UbEAakQCcI,general_other,"Hi there, thanks for reaching out. I’m sorry to hear you’re experiencing an issue with your JBL Charge3. To help you further, could you please provide a bit more detail about the problem you’re seeing with the cord? Once we have that information, we’ll be able to look into the best way to assist you.",False,3,2,2,2,3,3,4
golden_118,".@115830 last 5 of 10 Amazon Prime orders either no shows, late or chucked over back gate &amp; left out in the rain. Beyond frustrating 2 b paying for a service which is not being delivered!Probs happened 2 start when delivery driver changed... HOW WILL YOUU SORT THIS OUT PLEASE?!",delivery_delay,"I’m really sorry to hear that several of your Amazon Prime orders have either not arrived, arrived late, or were left out in the rain behind your gate. I understand how frustrating this must be. We’d like to investigate each of these deliveries and work with you to resolve the issue. Could you please share the order numbers and, if possible, any photos of the parcels that were left out? You can send the details to us through our support phone line here: https://t.co/JzP7hlA23B. Once we have that information, we’ll look into the deliveries with our Transportation team and get back to you with a solution.",False,4,3,4,4,4,2,4
golden_138,"Why is it @115821 that whenever we call for a simple, simple question your Seller Support agents don't know the answer? Why? #WTF is wrong with you guys? How you are a billion dollar company is beyond me. Bunch of fucking idiots work in customer service.",delivery_not_received,"Hi there,

I’m really sorry to hear about the frustration you’ve experienced with our support team. It’s never our intention for you to feel like you’re being passed around without getting a clear answer. Your feedback is important, and we want to make sure we address the specific question you have.

Could you please share a bit more detail about the issue you’re trying to resolve (for example, an order number or the product you’re asking about)? With that information we can look into what happened and get you the answer you need.

Thank you for bringing this to our attention – we’ll do our best to improve the experience for you and other customers.

Best regards,
Customer Support",False,3,2,2,3,2,2,2
