id,conversation_id,message,context,intent,label_source,categories,difficulty,expected_escalation,escalation_reason,required_evidence,labeler_notes,historical_resolution_sample
golden_011,AmazonHelp_718323,@115821 Your customer service is great! Your delivery service not so much! https://t.co/g5LniQHDV5,,delivery_not_received,classifier_fallback,common,easy,False,,"Tracking/carrier shows the package as delivered (or a delivery attempt was made), but the customer says they did not actually receive it -- distinct from delivery_delay because there is no further ""in transit"" status to check; this typically requires an investigation/claim rather than just waiting.",[label confirmed during manual primary-labeler review; row reconstructed 2026-09-14 after accidental build overwrite -- see scripts/restore_golden_csv_from_review.py],@219034 Let us know if you need any further help.^ES
golden_012,AmazonHelp_2816294,@AmazonHelp ordered a JBL CHARGE3 on Black Friday. Unplugged it the first time it does this help!  @164902 maybe you can help too?  I don’t want a return just a new cord. https://t.co/UbEAakQCcI,,general_other,manual_primary_labeler_review,common,easy,True,High-risk intent (general_other),"Does not clearly fit another category -- includes promotional/ off-topic mentions, ambiguous one-line messages, multi-topic messages, and messages that need more context than the root message alone provides. This is the deliberate ""I'm not sure"" bucket rather than forcing a low-confidence fit into another intent; it should route toward escalation/abstention, not toward a guessed intent.",[corrected to 'general_other' during manual primary-labeler review],"@547100 If the cable is shipped from and sold by Amazon, a replacement may be an option. If you'd prefer, you're welcome to contact us by phone, chat or e-mail to explore options here: https://t.co/hA"
golden_013,AmazonHelp_574033,Please help me with your customer service @115850 @AmazonHelp,,delivery_not_received,classifier_fallback,common,easy,False,,"Tracking/carrier shows the package as delivered (or a delivery attempt was made), but the customer says they did not actually receive it -- distinct from delivery_delay because there is no further ""in transit"" status to check; this typically requires an investigation/claim rather than just waiting.",[label confirmed during manual primary-labeler review; row reconstructed 2026-09-14 after accidental build overwrite -- see scripts/restore_golden_csv_from_review.py],@254980 I'm sorry for the delay of your order. We'd like to look into it. Please share your details here: https://t.co/beaaDm0muc we'll reach out to you soon. ^AP
golden_014,AmazonHelp_572401,@AmazonHelp You people have been taking hard earned money of the sellers like us who are selling on Amazon india,,cancellation_or_refund_request,classifier_fallback,common,easy,True,High-risk intent (cancellation_or_refund_request),"Customer explicitly wants to cancel an order, or is requesting or following up on a refund (including refund amount/timeline disputes). Financial-action intent.",[label confirmed during manual primary-labeler review; row reconstructed 2026-09-14 after accidental build overwrite -- see scripts/restore_golden_csv_from_review.py],@254493 We have sent you a correspondence here: https://t.co/fYrzNInVt2. Kindly reply to the latest correspondence from our team for further assistance on this. Thank you for your understanding. ^GD
golden_015,AmazonHelp_288627,"@115850 @AmazonHelp I'm a prime member and placed order for prime fulfilled product on 21st Nov. Forget quick delivery, it is not yet dispatched. ORDER # 404-1465394-9701149. https://t.co/BjArOZaiiC",,delivery_delay,classifier_fallback,"common,multi_intent",hard,False,,"Order or package has not arrived by the promised, guaranteed, or expected delivery date. Customer is reporting lateness, not a fully missing/lost package.",[label confirmed during manual primary-labeler review; row reconstructed 2026-09-14 after accidental build overwrite -- see scripts/restore_golden_csv_from_review.py],"@184770 For items that are not available for one-day or two-day delivery, prime customers will receive free standard delivery. You can check this link https://t.co/l7BK7W9fgx for more info. ^VM"
golden_016,AmazonHelp_465852,"It is 8:26pm on delivery day and no sign that @115817 are going to make this delivery on time. Hey @115821, please, please stop using UPS for next day service. They never manage it. Every package is late. No exceptions. (Last one they lost completely.) https://t.co/mvjXaG86qF",,return_or_replacement_request,classifier_fallback,common,easy,False,,"Customer received a wrong, damaged, defective, or counterfeit product and wants a return, replacement, or exchange (as opposed to simply wanting money back, though these can overlap).",[label confirmed during manual primary-labeler review; row reconstructed 2026-09-14 after accidental build overwrite -- see scripts/restore_golden_csv_from_review.py],@222099 Thanks for the update. Please contact us here so we may explore your options as well as forward your carrier feedback: https://t.co/dNXwBZPiM6 ^GG
golden_017,AmazonHelp_461192,@AmazonHelp 800 Kindergarten to Grade 5 students are waiting for a special delivery via PRIME &amp; it’s not going to make it?? 😥#disappointed,,return_or_replacement_request,classifier_fallback,common,easy,False,,"Customer received a wrong, damaged, defective, or counterfeit product and wants a return, replacement, or exchange (as opposed to simply wanting money back, though these can overlap).",[label confirmed during manual primary-labeler review; row reconstructed 2026-09-14 after accidental build overwrite -- see scripts/restore_golden_csv_from_review.py],"@224585 On the mobile app, it will be further down the page under the order tracking. If you're not seeing anything, please reach out to us by phone or chat so we can investigate: https://t.co/bM4tKtB"
golden_018,AmazonHelp_2841745,"What is the use of having prime membership when the order placed 5 days ago from a prime seller is not delivered by given timeline... @115850 #PrimeNotUseful
Didn't expect this from #Amazon",,prime_membership_issue,keyword_rule(2_hits),common,easy,False,,"Question or complaint specifically about Prime membership itself -- signup, billing, benefits, or Prime's delivery-speed promise as a membership-value issue (distinct from a one-off delivery_delay).",[label confirmed during manual primary-labeler review; row reconstructed 2026-09-14 after accidental build overwrite -- see scripts/restore_golden_csv_from_review.py],@249067 I get your disappointment. Suggest you to reach out to us via the above link. We'll check this for you. ^SG
golden_019,AmazonHelp_479387,"So disappointed in @115821 customer service, spoke to 5 different reps who all were rude and didn't have a reason about why my package has been late for a week. @AmazonHelp please help!",,customer_service_complaint,manual_primary_labeler_review,"common,ambiguous,multi_intent",hard,True,High-risk intent (customer_service_complaint),"General dissatisfaction or venting about support quality itself (""worst customer service"", ""pathetic"") without a distinct, actionable request beyond ""fix this."" High escalation risk because there is often no single retrievable resolution -- the underlying issue is usually one of the other intents, expressed as a complaint about *how* it was (mis)handled.",[corrected to 'customer_service_complaint' during manual primary-labeler review],@228929 We would like to help you. Please share your details with us here: https://t.co/GIJyeYqKE0. We'll get in touch shortly. ^CB
golden_020,AmazonHelp_2870659,@AmazonHelp Why offer same day delivery if it never happens? If I would have selected tomorrow would I️ still not receive my pkg for 4 days as you’re now “promising”? https://t.co/t2T6hoGHA4,,delivery_delay,manual_primary_labeler_review,common,easy,False,,"Order or package has not arrived by the promised, guaranteed, or expected delivery date. Customer is reporting lateness, not a fully missing/lost package.",[corrected to 'delivery_delay' during manual primary-labeler review],@136690 I'm so sorry for the delay! Can you provide us with the latest tracking information found here: https://t.co/Y5jpI9gRhE ^LS
golden_021,AmazonHelp_555292,"I pay $100+/year for @115821 Prime and in 5+ years I’ve never had any issues. Until yesterday, when a Prime package was “Guaranteed” to arrive by the 1st and now it’s not until the 3rd?? Wtf do I pay for?! Guarantee means nothing to @AmazonHelp",,content_availability_inquiry,manual_primary_labeler_review,"common,noisy",medium,False,,"Question about whether specific content (a show, movie, season, or book) is available, in what region, or when it will be released -- a Prime Video / Kindle catalog question, not a technical bug report.",[corrected to 'content_availability_inquiry' during manual primary-labeler review],@249648 Thank you for that. Can you please tell us who the carrier is? You can see that info here: https://t.co/6ZVwC1n9en  ^BA
golden_022,AmazonHelp_2884067,".@AmazonHelp please provide a smooth delivery of my product
Your boys delivered goods at this address prior,but now my address is not locating.Check your distribution/delivery depmnt many companies sank due to this.Solve my issue ASAP https://t.co/lI78E0Nf6i",,order_status_inquiry,manual_primary_labeler_review,"common,high_risk",easy,False,,"General question about the current status of an order (tracking, order ID lookup) without an explicit complaint framing -- the customer wants information, not necessarily compensation.",[corrected to 'order_status_inquiry' during manual primary-labeler review],"@130948 I'm sorry about the disappointment with the delivery of you order. Please reach out to us here: https://t.co/vlvfJr4nN9 we'd like to help. Also, please don’t provide your order details as we c"
golden_023,AmazonHelp_1822309,@115850 very poor service and cheating done by amazon.,,delivery_not_received,classifier_fallback,common,easy,False,,"Tracking/carrier shows the package as delivered (or a delivery attempt was made), but the customer says they did not actually receive it -- distinct from delivery_delay because there is no further ""in transit"" status to check; this typically requires an investigation/claim rather than just waiting.",[label confirmed during manual primary-labeler review; row reconstructed 2026-09-14 after accidental build overwrite -- see scripts/restore_golden_csv_from_review.py],"@547065 I'm sorry you feel that way. If you have faxed your details requested by our team, I'm sure they will reach out to you. I'm sorry we won't be able to assist you any further insights as your ac"
golden_024,AmazonHelp_2907803,@115830 how do i download the wwe app on an amazon fire tablet?!,,delivery_not_received,manual_primary_labeler_review,common,easy,False,,"Tracking/carrier shows the package as delivered (or a delivery attempt was made), but the customer says they did not actually receive it -- distinct from delivery_delay because there is no further ""in transit"" status to check; this typically requires an investigation/claim rather than just waiting.",[corrected to 'delivery_not_received' during manual primary-labeler review],@805129 We'd like to help! I hope this is what you're looking for: https://t.co/ljaDRoT1T0 Please let us know if we can further assist! ^AB
golden_025,AmazonHelp_481693,".@115830 Just spoken to your team in a chat to discuss a Prime order of mine due yesterday that was not arriving until today. Without discussing it with me, they've scheduled a re-delivery which means it will be further delayed. Not happy with this service at all!",,cancellation_or_refund_request,manual_primary_labeler_review,"common,ambiguous,multi_intent",hard,True,High-risk intent (cancellation_or_refund_request),"Customer explicitly wants to cancel an order, or is requesting or following up on a refund (including refund amount/timeline disputes). Financial-action intent.",[corrected to 'cancellation_or_refund_request' during manual primary-labeler review],@229490 So sorry to hear about the poor service you received! This is not what we expect out of our representatives at all! If the order doesn't arrive within the date provided by the representative p
golden_026,AmazonHelp_239517,@115821 I️ don’t understand that I️ ordered something that was to be delivered today only to find out there’s no delivery update. I️ need it by Monday.,,app_or_device_technical_issue,manual_primary_labeler_review,"rare,ambiguous",hard,True,Ambiguous intent (classifier margin < 0.15),"Technical bug or malfunction in an Amazon app, Kindle, Alexa/Echo, or Fire TV -- not an order/delivery issue at all.",[corrected to 'app_or_device_technical_issue' during manual primary-labeler review],@133528 I understand how frustrating this can be and I apologize for it. Can you tell us what options were offered to you after you contacted us? Please keep us posted. ^CC
golden_027,AmazonHelp_1693317,@115850 Unable to add Money to Amazon Pay.. Not receiving verification text mesaage! https://t.co/ogyF6qBqS7,,payment_or_billing_issue,classifier_fallback,"rare,high_risk",medium,True,High-risk intent (payment_or_billing_issue),"Problem with a charge, payment method, or Amazon Pay balance -- being charged multiple times, payment declined, incorrect amount charged. Financial-action intent, account-specific verification usually required.",[label confirmed during manual primary-labeler review; row reconstructed 2026-09-14 after accidental build overwrite -- see scripts/restore_golden_csv_from_review.py],@513879 Apologies for the stretch in resolving the issue. We would like to take a closer look into this. Please share your details here: - https://t.co/beaaDm0muc. We will get back to once we have you
golden_028,AmazonHelp_497291,@115830 still waiting on a delivery/just an update on the delivery #theseareallgoodtimes ? #thesearenotgoodtimes,,delivery_delay,manual_primary_labeler_review,rare,medium,False,,"Order or package has not arrived by the promised, guaranteed, or expected delivery date. Customer is reporting lateness, not a fully missing/lost package.",[corrected to 'delivery_delay' during manual primary-labeler review],"@233672 It looks like we don't have an estimated delivery date yet available for the product. Once a date is calculated, we will e-mail you with an update! ^AB"
golden_029,AmazonHelp_2953704,@115850 Order# 405-2797358-2470712 No update; only DTDC tracking no Z44698404 which says package delivered to a wrong address,,order_status_inquiry,classifier_fallback,"rare,noisy",medium,False,,"General question about the current status of an order (tracking, order ID lookup) without an explicit complaint framing -- the customer wants information, not necessarily compensation.",[label confirmed during manual primary-labeler review; row reconstructed 2026-09-14 after accidental build overwrite -- see scripts/restore_golden_csv_from_review.py],"@691799 Please don't provide your order details, we consider it to be personal information. Our page is visible to the public. 2/2 ^BV"
golden_030,AmazonHelp_1814090,@213587 Can i have any update on this ?,,order_status_inquiry,classifier_fallback,rare,medium,False,,"General question about the current status of an order (tracking, order ID lookup) without an explicit complaint framing -- the customer wants information, not necessarily compensation.",[label confirmed during manual primary-labeler review; row reconstructed 2026-09-14 after accidental build overwrite -- see scripts/restore_golden_csv_from_review.py],@213585 Please check the email which has been sent from social media team. Request you to reply to the same email for further assistance. ^MK
golden_031,AmazonHelp_2972796,@115821 can y'all update my account so I can get my camera through prime. Im not about to wait weeks for it to come through,,payment_or_billing_issue,manual_primary_labeler_review,rare,medium,True,High-risk intent (payment_or_billing_issue),"Problem with a charge, payment method, or Amazon Pay balance -- being charged multiple times, payment declined, incorrect amount charged. Financial-action intent, account-specific verification usually required.",[corrected to 'payment_or_billing_issue' during manual primary-labeler review],@434861 We'd love to take a closer look into this with you via phone or chat here:https://t.co/hApLpMlfHN ^ML
golden_032,AmazonHelp_99824,@115821 how can I update my email address? I've gone through it a dozen times with a dozen passwords and I get this. https://t.co/CoAW8igTO4,,order_status_inquiry,classifier_fallback,"rare,ood",hard,True,Out-of-distribution / low retrieval confidence,"General question about the current status of an order (tracking, order ID lookup) without an explicit complaint framing -- the customer wants information, not necessarily compensation.",[label confirmed during manual primary-labeler review; row reconstructed 2026-09-14 after accidental build overwrite -- see scripts/restore_golden_csv_from_review.py],@137856 I can understand your frustration! Contact us here and we can address this with you  https://t.co/JzP7hlA23B ^DJ
golden_033,AmazonHelp_468861,"@115850 @AmazonHelp Who is the winner for the #OnePlus5TAppQuiz ? Publish the winner list,waiting for your update.",,order_status_inquiry,classifier_fallback,"rare,ambiguous",hard,True,Ambiguous intent (classifier margin < 0.15),"General question about the current status of an order (tracking, order ID lookup) without an explicit complaint framing -- the customer wants information, not necessarily compensation.",[label confirmed during manual primary-labeler review; row reconstructed 2026-09-14 after accidental build overwrite -- see scripts/restore_golden_csv_from_review.py],"@226636 I'm sorry for the delay in publishing the results. We're working on it, kindly stay tuned. ^AP"
golden_034,AmazonHelp_2945574,"@AmazonHelp My package has been “delayed” two days in a row, and there’s no tracking update yet today despite a CSR telling me I’d definitely get it today. Just tell me they lost it and send me another one already.",,content_availability_inquiry,classifier_fallback,rare,medium,False,,"Question about whether specific content (a show, movie, season, or book) is available, in what region, or when it will be released -- a Prime Video / Kindle catalog question, not a technical bug report.",[label confirmed during manual primary-labeler review; row reconstructed 2026-09-14 after accidental build overwrite -- see scripts/restore_golden_csv_from_review.py],@223600 We'd like to look at this order with you and help the best we can! Please reach out to us by phone: https://t.co/hApLpMlfHN ^DD
golden_035,AmazonHelp_512351,"@115830 You abandon £100s worth of our Christmas presents on a countryside wall in the pouring rain and have the gall to send a status update to say ""delivered""? Ridiculous.",,return_or_replacement_request,manual_primary_labeler_review,rare,medium,False,,"Customer received a wrong, damaged, defective, or counterfeit product and wants a return, replacement, or exchange (as opposed to simply wanting money back, though these can overlap).",[corrected to 'return_or_replacement_request' during manual primary-labeler review],"@237827 Hey, James! Which courier delivered your parcels? You can find that information here: https://t.co/aaDyEz1VgE ^LA"
golden_036,AmazonHelp_2933560,Its been 4 days already and I havenot recieved any call or update regarding the counterfeiting of @112482 . And fake sellers are selling without any fear on your platform. @Amazonhelp @115851 https://t.co/XTyoD4yLo1,,order_status_inquiry,classifier_fallback,"rare,ood",hard,True,Out-of-distribution / low retrieval confidence,"General question about the current status of an order (tracking, order ID lookup) without an explicit complaint framing -- the customer wants information, not necessarily compensation.",[label confirmed during manual primary-labeler review; row reconstructed 2026-09-14 after accidental build overwrite -- see scripts/restore_golden_csv_from_review.py],@181633 Our team is working on your issue. We shall be getting it resolved at the earliest. Your patience is much appreciated here. ^CB
golden_037,AmazonHelp_544449,"The new printer we ordered, on Nov. 22nd, was supposed to be here from Nov. 29th - Dec 1st. Now I got an update it may not be here until Dec. 7th?What the hell @AmazonHelp @115821",,order_status_inquiry,classifier_fallback,rare,medium,False,,"General question about the current status of an order (tracking, order ID lookup) without an explicit complaint framing -- the customer wants information, not necessarily compensation.",[label confirmed during manual primary-labeler review; row reconstructed 2026-09-14 after accidental build overwrite -- see scripts/restore_golden_csv_from_review.py],@246498 Apologies for the setback! Was a cause for the delay noted in the e-mail you received? Please let us know! We'd like to help in any way we can. ^FD
golden_038,AmazonHelp_2847405,"@AmazonHelp Order no. 171-8264819-8281921. I have ordered the product on 9th Nov 2017, still didn't received the product yet neither any update from your side regarding the product.Still not yet dispatched. Dissapointing purchase it is.",,delivery_delay,manual_primary_labeler_review,rare,medium,False,,"Order or package has not arrived by the promised, guaranteed, or expected delivery date. Customer is reporting lateness, not a fully missing/lost package.",[corrected to 'delivery_delay' during manual primary-labeler review],"@791911 I get your concern regarding the delivery of the order. However, all the packages are shipped on time so that it reaches you by estimated delivery date. Request you to wait till the same. ^SM"
golden_039,AmazonHelp_73611,"@115850 need to update its app services to update address after order . I ordered some books and paid by @115823 but want to update my address because i’m not available there even you should help me out to deliver all my orders at same day.
#helpmeout",,order_status_inquiry,classifier_fallback,rare,medium,False,,"General question about the current status of an order (tracking, order ID lookup) without an explicit complaint framing -- the customer wants information, not necessarily compensation.",[label confirmed during manual primary-labeler review; row reconstructed 2026-09-14 after accidental build overwrite -- see scripts/restore_golden_csv_from_review.py],"@132463 We won't be able to make any changes to orders that are successfully placed, Ankit. However, I'll ensure to share your comments as feedback to our concerned team and get it reviewed. ^RI"
golden_040,AmazonHelp_586875,@119625 since your last update on iPhone 📱 it doesn’t cast on @115858 TV 📺. Please help,,order_status_inquiry,classifier_fallback,rare,medium,False,,"General question about the current status of an order (tracking, order ID lookup) without an explicit complaint framing -- the customer wants information, not necessarily compensation.",[label confirmed during manual primary-labeler review; row reconstructed 2026-09-14 after accidental build overwrite -- see scripts/restore_golden_csv_from_review.py],@258586 We’re working hard on an app to cast for AppleTV. Please stay tuned for further update. ^SG
golden_041,AmazonHelp_540849,"Please update the result ? 
#AmazonRechargeQuiz 
@AmazonHelp 
@115850",,order_status_inquiry,classifier_fallback,rare,medium,False,,"General question about the current status of an order (tracking, order ID lookup) without an explicit complaint framing -- the customer wants information, not necessarily compensation.",[label confirmed during manual primary-labeler review; row reconstructed 2026-09-14 after accidental build overwrite -- see scripts/restore_golden_csv_from_review.py],"@223718 Results would be announced soon and as mentioned earlier, the winners would be notified via email; appreciate your understanding. ^VN"
golden_042,AmazonHelp_2945574,"@AmazonHelp My package has been “delayed” two days in a row, and there’s no tracking update yet today despite a CSR telling me I’d definitely get it today. Just tell me they lost it and send me another one already.",,content_availability_inquiry,classifier_fallback,rare,medium,False,,"Question about whether specific content (a show, movie, season, or book) is available, in what region, or when it will be released -- a Prime Video / Kindle catalog question, not a technical bug report.",[label confirmed during manual primary-labeler review; row reconstructed 2026-09-14 after accidental build overwrite -- see scripts/restore_golden_csv_from_review.py],@223600 We'd like to look at this order with you and help the best we can! Please reach out to us by phone: https://t.co/hApLpMlfHN ^DD
golden_043,AmazonHelp_487780,"Ready to throw this @116439 off the nearest bridge. Since whatever update, I get kicked out of Hulu constantly because of a “poor connection” smfh get it together",,order_status_inquiry,classifier_fallback,rare,medium,False,,"General question about the current status of an order (tracking, order ID lookup) without an explicit complaint framing -- the customer wants information, not necessarily compensation.",[label confirmed during manual primary-labeler review; row reconstructed 2026-09-14 after accidental build overwrite -- see scripts/restore_golden_csv_from_review.py],@231101 Oh no! Have you tired uninstalling and reinstalling the app? ^BA
golden_044,AmazonHelp_2945574,"@AmazonHelp My package has been “delayed” two days in a row, and there’s no tracking update yet today despite a CSR telling me I’d definitely get it today. Just tell me they lost it and send me another one already.",,content_availability_inquiry,classifier_fallback,rare,medium,False,,"Question about whether specific content (a show, movie, season, or book) is available, in what region, or when it will be released -- a Prime Video / Kindle catalog question, not a technical bug report.",[label confirmed during manual primary-labeler review; row reconstructed 2026-09-14 after accidental build overwrite -- see scripts/restore_golden_csv_from_review.py],@223600 We'd like to look at this order with you and help the best we can! Please reach out to us by phone: https://t.co/hApLpMlfHN ^DD
golden_045,AmazonHelp_64147,"So many days yet no update. @AmazonHelp 
There are cases of fraud pick ups.
Guys be aware @130725 @130726 @17497 @130727 @115530 @130728 @115531 @115532 @130729 @115533 @130730 https://t.co/dLyuiAUNro",,order_status_inquiry,classifier_fallback,rare,medium,False,,"General question about the current status of an order (tracking, order ID lookup) without an explicit complaint framing -- the customer wants information, not necessarily compensation.",[label confirmed during manual primary-labeler review; row reconstructed 2026-09-14 after accidental build overwrite -- see scripts/restore_golden_csv_from_review.py],"@130724 I get that you're upset. However, be assured we're working on it and we'll get back to you soon. ^BV"
golden_046,AmazonHelp_2318805,@116935 shuffle isn’t working since the last update on iPhone.,,order_status_inquiry,classifier_fallback,rare,medium,False,,"General question about the current status of an order (tracking, order ID lookup) without an explicit complaint framing -- the customer wants information, not necessarily compensation.",[label confirmed during manual primary-labeler review; row reconstructed 2026-09-14 after accidental build overwrite -- see scripts/restore_golden_csv_from_review.py],@672159 Thanks for reaching out to us via Twitter. Please check here for possible trouble shooting options: https://t.co/T5n0k7VOMq ^MO
golden_047,AmazonHelp_576508,"@AmazonHelp The first pic was the USPS status update. Very obviously unhelpful. You can see it went from being on a truck to being ""someday"".",,general_other,manual_primary_labeler_review,"rare,ood",hard,True,High-risk intent (general_other),"Does not clearly fit another category -- includes promotional/ off-topic mentions, ambiguous one-line messages, multi-topic messages, and messages that need more context than the root message alone provides. This is the deliberate ""I'm not sure"" bucket rather than forcing a low-confidence fit into another intent; it should route toward escalation/abstention, not toward a guessed intent.",[corrected to 'general_other' during manual primary-labeler review],"@255523 Once an item enters the shipping process, we're unable to influence or take action on the order. Reaching out to the carrier may be helpful to gain additional insight on the status of your pac"
golden_048,AmazonHelp_2866042,"@AmazonHelp i have an order that is supposed to get here tonight, but the problem is that when i click ""see all updates"" it only has one update which doesnt really help.",,general_other,manual_primary_labeler_review,rare,medium,True,High-risk intent (general_other),"Does not clearly fit another category -- includes promotional/ off-topic mentions, ambiguous one-line messages, multi-topic messages, and messages that need more context than the root message alone provides. This is the deliberate ""I'm not sure"" bucket rather than forcing a low-confidence fit into another intent; it should route toward escalation/abstention, not toward a guessed intent.",[corrected to 'general_other' during manual primary-labeler review],"@248050 We ask that you give the seller up to two business days to respond. If they don't respond or they're not able to assist, we may still have available options with our A-to-z Guarantee Protectio"
golden_049,AmazonHelp_80559,@AmazonHelp is there anyway to get an update on return that was delivered to Amazon 2 days ago?,,return_or_replacement_request,manual_primary_labeler_review,rare,medium,False,,"Customer received a wrong, damaged, defective, or counterfeit product and wants a return, replacement, or exchange (as opposed to simply wanting money back, though these can overlap).",[corrected to 'return_or_replacement_request' during manual primary-labeler review],@133884 Hello! It generally takes 5-7 business days for your bank to process your refund after we received the return. You can track your return here: https://t.co/idZStYBf5n.^CN
